match_id,patch,winning_team,baron_diff,dragon_diff,tower_diff,best_champ,best_lane
NA1_5377867330,15.19.715.1836,200,2,2,6,Ryze,MIDDLE
NA1_5377440451,15.19.715.1836,200,0,1,7,Corki,MIDDLE
NA1_5377399137,15.19.715.1836,100,0,0,2,Viktor,MIDDLE
NA1_5376152847,15.19.714.7225,100,0,0,4,Jayce,TOP
NA1_5375859224,15.19.714.7225,200,1,3,11,Rumble,JUNGLE
NA1_5374893206,15.19.713.5912,200,-1,2,1,DrMundo,TOP
NA1_5374823270,15.19.713.5912,200,0,3,1,Corki,MIDDLE
NA1_5374629541,15.19.713.5912,100,0,0,7,MasterYi,JUNGLE
NA1_5374567006,15.19.713.5912,200,0,3,1,Jhin,BOTTOM
NA1_5374505730,15.19.713.5912,200,0,2,4,Fiora,TOP
NA1_5375785361,15.19.713.5912,200,2,-1,6,Karthus,JUNGLE
NA1_5375751494,15.19.713.5912,200,0,1,5,Mel,MIDDLE
NA1_5375706892,15.19.713.5912,200,0,0,5,Riven,TOP
NA1_5374995311,15.19.713.5912,100,1,3,10,Renekton,TOP
NA1_5372211003,15.18.710.2811,200,2,4,5,Akali,TOP
NA1_5372181680,15.18.710.2811,100,1,-2,9,Corki,BOTTOM
NA1_5372165295,15.18.710.2811,100,0,0,3,Gwen,TOP
NA1_5372141179,15.18.710.2811,100,0,-1,5,Rengar,JUNGLE
NA1_5371535055,15.18.710.2811,100,1,3,8,Ambessa,TOP
NA1_5369166830,15.18.710.2811,200,3,2,3,Tristana,BOTTOM
NA1_5378910103,15.19.715.1836,100,1,-1,6,Azir,MIDDLE
NA1_5378845628,15.19.715.1836,100,0,2,3,Orianna,MIDDLE
NA1_5378714779,15.19.715.1836,200,1,0,8,Swain,MIDDLE
NA1_5377644024,15.19.715.1836,200,0,2,0,Vayne,TOP
NA1_5377572249,15.19.715.1836,200,0,-2,5,Riven,TOP
NA1_5377507704,15.19.715.1836,100,1,3,3,Twitch,BOTTOM
NA1_5377463162,15.19.715.1836,200,-1,1,1,Jax,TOP
NA1_5377419180,15.19.715.1836,200,1,3,7,Qiyana,MIDDLE
NA1_5377373230,15.19.715.1836,100,0,-1,6,Gangplank,TOP
NA1_5377337970,15.19.715.1836,100,0,2,2,Fizz,MIDDLE
NA1_5376564971,15.19.714.7225,200,0,2,2,LeeSin,JUNGLE
NA1_5376487381,15.19.714.7225,100,1,1,11,Galio,MIDDLE
NA1_5376414532,15.19.714.7225,200,0,2,4,Xayah,BOTTOM
NA1_5376361159,15.19.714.7225,100,0,2,3,Vayne,BOTTOM
NA1_5376210674,15.19.714.7225,100,1,0,8,Jayce,MIDDLE
NA1_5376105460,15.19.714.7225,200,0,3,-2,Garen,TOP
NA1_5374001407,15.18.710.2811,200,0,1,4,Corki,MIDDLE
NA1_5373953364,15.18.710.2811,100,1,0,4,Kaisa,BOTTOM
NA1_5371113540,15.18.710.2811,200,2,-3,6,Jhin,BOTTOM
NA1_5378409227,15.19.715.1836,200,0,-1,7,Kayle,MIDDLE
NA1_5378380921,15.19.715.1836,200,1,5,2,Kayn,JUNGLE
NA1_5377416206,15.19.715.1836,100,0,3,6,Ambessa,TOP
NA1_5377369477,15.19.715.1836,100,1,3,4,Qiyana,MIDDLE
NA1_5377319663,15.19.715.1836,100,1,3,0,Ezreal,BOTTOM
NA1_5377181395,15.19.714.7225,200,0,1,10,Olaf,TOP
NA1_5377146359,15.19.714.7225,100,0,1,7,Leblanc,MIDDLE
NA1_5377112160,15.19.714.7225,200,0,3,2,Corki,BOTTOM
NA1_5374308694,15.19.713.5912,100,0,2,6,Illaoi,MIDDLE
NA1_5374293454,15.19.713.5912,200,0,2,1,Nidalee,TOP
NA1_5378112484,15.19.715.1836,200,0,2,11,Varus,BOTTOM
NA1_5378069829,15.19.715.1836,200,2,4,9,Ezreal,BOTTOM
NA1_5378009213,15.19.715.1836,100,1,3,3,Viego,JUNGLE
NA1_5377948254,15.19.715.1836,100,-1,0,8,Jayce,JUNGLE
NA1_5377894847,15.19.715.1836,200,1,2,6,Cassiopeia,MIDDLE
NA1_5376607489,15.19.714.7225,200,0,3,4,Zyra,JUNGLE
NA1_5374912354,15.19.713.5912,200,0,3,3,Akali,MIDDLE
NA1_5373901328,15.18.710.2811,100,0,-1,9,Nidalee,JUNGLE
NA1_5373868601,15.18.710.2811,100,1,-2,7,Sylas,MIDDLE
NA1_5377345901,15.19.714.7225,200,0,2,4,Ziggs,BOTTOM
NA1_5377262980,15.19.714.7225,200,0,2,7,Fiora,TOP
NA1_5377217103,15.19.714.7225,100,1,1,4,Ambessa,TOP
NA1_5377173749,15.19.714.7225,200,1,2,2,Caitlyn,BOTTOM
NA1_5377130308,15.19.714.7225,200,1,2,8,Jayce,TOP
NA1_5376004385,15.19.714.7225,200,0,3,5,Pantheon,JUNGLE
NA1_5375934538,15.19.714.7225,100,0,0,3,Lucian,BOTTOM
NA1_5375891829,15.19.714.7225,100,1,-2,4,Jayce,TOP
NA1_5375829666,15.19.714.7225,200,1,4,7,Senna,BOTTOM
NA1_5375788942,15.19.714.7225,100,0,1,3,Qiyana,JUNGLE
NA1_5374644665,15.19.713.5912,100,1,0,8,Orianna,MIDDLE
NA1_5374596776,15.19.713.5912,100,0,1,6,Belveth,JUNGLE
NA1_5374536495,15.19.713.5912,100,-1,1,3,Hecarim,JUNGLE
NA1_5373295935,15.18.710.2811,100,1,-1,0,Sivir,BOTTOM
NA1_5373280926,15.18.710.2811,100,0,0,7,Ezreal,BOTTOM
NA1_5373261590,15.18.710.2811,200,1,4,8,Zyra,UTILITY
NA1_5373246967,15.18.710.2811,100,1,3,8,Senna,UTILITY
NA1_5369788644,15.18.710.2811,200,1,2,7,Ashe,BOTTOM
NA1_5369769257,15.18.710.2811,100,1,4,7,Annie,BOTTOM
NA1_5378957242,15.19.715.1836,100,-2,-2,1,Aurora,MIDDLE
NA1_5378891881,15.19.715.1836,100,1,-1,7,Quinn,MIDDLE
NA1_5378822510,15.19.715.1836,200,0,4,6,MissFortune,BOTTOM
NA1_5378137525,15.19.715.1836,200,1,1,6,Talon,JUNGLE
NA1_5378099577,15.19.715.1836,100,1,-1,5,Quinn,MIDDLE
NA1_5378051579,15.19.715.1836,100,0,-3,4,Akali,MIDDLE
NA1_5377983674,15.19.715.1836,200,1,1,8,Hecarim,JUNGLE
NA1_5377354651,15.19.715.1836,100,-1,-2,3,Varus,BOTTOM
NA1_5377302837,15.19.715.1836,100,1,1,7,Ezreal,BOTTOM
NA1_5366930680,15.18.710.2811,200,0,1,2,Gwen,JUNGLE
NA1_5366329179,15.18.710.2811,100,1,0,6,Lucian,BOTTOM
NA1_5366293042,15.18.710.2811,100,1,-2,4,Taliyah,JUNGLE
NA1_5366253808,15.18.710.2811,200,1,4,4,Karthus,BOTTOM
