match_id,patch,minute,gold_diff,xp_diff,cs_diff,tower_diff,dragon_diff,final_win
NA1_5377867330,15.19.715.1836,10,-678,-1805,-4,0,0,0
NA1_5377867330,15.19.715.1836,15,25,-462,18,0,0,0
NA1_5377867330,15.19.715.1836,20,4365,4125,21,1,0,0
NA1_5377867330,15.19.715.1836,25,5000,3448,14,-1,0,0
NA1_5377440451,15.19.715.1836,10,-1892,-924,-1,0,0,0
NA1_5377440451,15.19.715.1836,15,-3533,-1543,0,0,0,0
NA1_5377440451,15.19.715.1836,20,-4469,-2883,-11,1,-1,0
NA1_5377399137,15.19.715.1836,10,-1033,-1518,-52,0,0,1
NA1_5377399137,15.19.715.1836,15,2479,147,-36,0,0,1
NA1_5376152847,15.19.714.7225,10,-362,-479,-32,0,0,1
NA1_5376152847,15.19.714.7225,15,2281,596,-40,1,0,1
NA1_5376152847,15.19.714.7225,20,5528,4725,-17,2,0,1
NA1_5376152847,15.19.714.7225,25,8406,12513,24,0,0,1
NA1_5375859224,15.19.714.7225,10,65,-1422,-47,0,0,0
NA1_5375859224,15.19.714.7225,15,-1160,-1548,-50,-2,0,0
NA1_5375859224,15.19.714.7225,20,-5284,-10078,-118,0,0,0
NA1_5375859224,15.19.714.7225,25,-5275,-12938,-152,-1,0,0
NA1_5374893206,15.19.713.5912,10,-789,444,-36,0,0,0
NA1_5374893206,15.19.713.5912,15,-884,-221,-15,0,-1,0
NA1_5374893206,15.19.713.5912,20,1579,2484,-3,0,0,0
NA1_5374893206,15.19.713.5912,25,-1159,243,-30,0,0,0
NA1_5374823270,15.19.713.5912,10,-590,150,30,0,0,0
NA1_5374823270,15.19.713.5912,15,-2776,-2159,1,0,0,0
NA1_5374629541,15.19.713.5912,10,1045,1244,-1,0,0,1
NA1_5374629541,15.19.713.5912,15,3333,1999,19,2,0,1
NA1_5374629541,15.19.713.5912,20,1606,3080,12,-1,0,1
NA1_5374629541,15.19.713.5912,25,7466,13024,44,3,0,1
NA1_5374567006,15.19.713.5912,10,926,1397,41,0,0,0
NA1_5374567006,15.19.713.5912,15,1791,3987,94,0,0,0
NA1_5374567006,15.19.713.5912,20,81,138,104,0,0,0
NA1_5374567006,15.19.713.5912,25,-1601,2641,123,0,0,0
NA1_5374505730,15.19.713.5912,10,-3090,-2101,-34,0,0,0
NA1_5374505730,15.19.713.5912,15,-8113,-5758,-96,-1,0,0
NA1_5375785361,15.19.713.5912,10,743,443,-15,0,0,0
NA1_5375785361,15.19.713.5912,15,2205,3566,-8,0,0,0
NA1_5375785361,15.19.713.5912,20,472,946,-17,0,0,0
NA1_5375785361,15.19.713.5912,25,-1470,561,-47,-1,0,0
NA1_5375751494,15.19.713.5912,10,-920,-1325,-46,0,0,0
NA1_5375751494,15.19.713.5912,15,-2914,-3203,-96,0,0,0
NA1_5375751494,15.19.713.5912,20,-9466,-8808,-117,0,-1,0
NA1_5375706892,15.19.713.5912,10,538,899,0,0,0,0
NA1_5375706892,15.19.713.5912,15,401,1103,3,0,0,0
NA1_5375706892,15.19.713.5912,20,2509,2511,-23,0,1,0
NA1_5375706892,15.19.713.5912,25,-6036,-10791,-70,-1,0,0
NA1_5374995311,15.19.713.5912,10,2458,2792,52,0,0,1
NA1_5374995311,15.19.713.5912,15,4707,2933,60,0,0,1
NA1_5374995311,15.19.713.5912,20,4139,2828,60,0,0,1
NA1_5374995311,15.19.713.5912,25,4582,7190,66,0,0,1
NA1_5372211003,15.18.710.2811,10,828,202,12,0,0,0
NA1_5372211003,15.18.710.2811,15,1355,976,11,1,0,0
NA1_5372211003,15.18.710.2811,20,-235,199,28,0,0,0
NA1_5372211003,15.18.710.2811,25,-1490,-3764,49,0,0,0
NA1_5372181680,15.18.710.2811,10,1793,592,-9,0,0,1
NA1_5372181680,15.18.710.2811,15,1336,2449,-10,0,0,1
NA1_5372181680,15.18.710.2811,20,2383,6594,33,0,0,1
NA1_5372181680,15.18.710.2811,25,10432,16360,44,1,0,1
NA1_5372165295,15.18.710.2811,10,2957,2655,44,0,0,1
NA1_5372165295,15.18.710.2811,15,4353,2005,43,1,0,1
NA1_5372141179,15.18.710.2811,10,4745,3265,45,0,0,1
NA1_5372141179,15.18.710.2811,15,12444,8296,93,2,0,1
NA1_5371535055,15.18.710.2811,10,2053,748,22,0,0,1
NA1_5371535055,15.18.710.2811,15,134,442,13,0,0,1
NA1_5371535055,15.18.710.2811,20,2230,3060,7,1,0,1
NA1_5371535055,15.18.710.2811,25,8306,13815,45,1,0,1
NA1_5369166830,15.18.710.2811,10,-884,-730,-15,0,0,0
NA1_5369166830,15.18.710.2811,15,-133,-1378,-44,-1,0,0
NA1_5369166830,15.18.710.2811,20,789,481,-38,-1,0,0
NA1_5369166830,15.18.710.2811,25,-759,1839,-62,-1,-1,0
NA1_5378910103,15.19.715.1836,10,-987,-285,0,0,0,1
